ID,script,label,class,filename
P_0001,"네 그 녹취 종료는 이제 자금이나 대삼자 목소리가 개입되면 안 되고 지금 수사 중인 사건이어서 수사 종료 되기 전까지 이제 삼자에게 사건내용에 대해서 발전하시면 안되십니다. 이해하셨나요? 네 알겠습니다. 지금 현재 전화받고 계신 곳이 뭐 학교이신가요 아니면 뭐 자택 있어요? 네 그냥 자택입니다. 그러면 녹취 상태에서는 이제 말씀하신 모든 부분은 이제 녹취 기록에 남길 거고 본인을 대신하여 증거 자료로 채택을 해드릴 겁니다. 그러시면 지금부터는 제가 사건 내용에 대해서 구체적으로 좀 설명을 드리겠습니다. 네 현재 사건은 지금 강기섭비와 여섯 명으로 구성된 금융범죄 사기사건이고 지금 4명은 검거를 했고 2명은 미검거 상태로 진행 중인 사건이라고 먼저 말씀을 드립니다. 네 이 사건은 지금 중고거래 사이트에서 지금 국가의 물건을 저가에 판매한다는 게시글을 올려놓고 지금 물건을 안 주고 금품을 편취하는 사건입니다. 지금 압수수색 당시 현장에서 OX 명의로 개설된 통장, 체크카드 각각 두 등과 유저된 복제폰이 포함됐습니다. 그리고 혹시 중고거래가 이루어졌다는 사이트가 어디인지 알 수 있을까요? OX 사이트요. 그분의 영역을 이용해서 가입했다는 건가요? 아니면 그분의 영역을 이용해서 가입했는데 거래를 사용해도 되었다는 건가요? 그러니까 이제 본인 명의로 대폰통장하고 복제폰을 만들어서 사기를 치셨단 말씀이세요. 제 명의로 그에 만들어줬다는 건가요? 네네 맞습니다. 어느 통장이 어떤 은행이 있는지 알 수 있을까요? 제가 지금 그걸 조회할 수 있어서요. 네 그 X은행하고 X은행인데요. 이거는 본인도 아시겠지만 본인이 은행에 출석을 안 하시면 은행에도 이거 개설을 안 해주시잖아요. 아니요 지금 핸드폰으로 확인할 수 있어요. 지금 계좌번호가 어떻게 될까요? 그거는 제가 공문으로 발송해드릴게요. 본인이 휴대폰으로 도사를 하시겠다는데 통장이 지금 검찰에서 동결체제 시켰는데 본인이 어떻게 도사를 하시겠어요? 일단 제가 XX랑 한 XX랑 돈을 한번 지금 동결 처리가 됐다고요? 여기는 방금 전통이 거래가 되기 때문에 아까 제 명의로 개설된 통장에 방금 전에 돈이 들어가는데 동결이 된 거에 돈이 들어갈 수가 있나요? 제가 잘 몰랐어요. 말씀을 다 이해를 못 하셨어요. 대포통장이라는 게 본인 어떤 통장인지 모르세요? 대포통장을 약하면은 제가 제 명의가 아닌 다른 사람의 용지상으로 만든 거 아닙니까? 사람이 지금 본인 명의를 가지고 가짜 통장을 만들어서 본인이 은행에 출석을 안 하시는데 본인 명의로 어떻게 계좌를 개설하시겠어요? 그러면은 대가 기절이 가능한지 않을까요? 그러니까 제가 가짜 통장을 만드셨다는 말씀을 하셨잖아요. 은행에서 개설하신 게 아니시라. 명의가 지금 본인 명의이기 때문에 지금 검찰청에서 연락을 드린 거 아니십니까? 네, 말씀하세요. 본인이 지금 말씀 너무 많으신데 제가 본인 앞으로 소환장을 좀 발표해 드릴게요. 나와서 본인도 한번 확인해보시고 조사를 해보시고 한번 조사받아보세요. 네 언제쯤 가면 될까요? 여보세요?",1,,바로 이 목소리/1.wav
P_0002,"조사하는 모든 통합량을 녹취를 하게 됩니다. 증거자료를 채택해서 피해자 입증에 유리하게 작용될 수 있습니다. 그럼 우선 녹취 중에 몇 가지 주의 사항 먼저 말씀드리겠습니다. 녹취 중에는 XXX 목소리, 왜 자범이나 제3자의 목소리가 계획되면 안 되고요. 본 사건이 종결되기 전까지 제3자에게 사건 내용 발설하시면 안됩니다. 알고 계신 사실에 대해서 은닉 또는 호의 진술을 해서도 안 되고요. 지금 계시는 장소는 어디시죠? 지금 각자 있는데 원인이 이 사건에 대해 전혀 관인된 바 같고 피해자이시라면 있는 그대로 거빛 없이 사실 그대로만 진술하시면 됩니다. 그리고 지금 비대면으로 진행하는 수사가 있어서 본검사는 절대로 금전을 요구하거나 개인정보에 대한 문의하지 않을 겁니다. 그래서 일단 본인이 사용하고 있는 계좌와 OO이 본인이 모르는 계좌가 추가로 발견되는지 지금 조회를 할 건데요. 조회하기 전에 OO이 사용하시는 계좌에 대해서는 우선적으로 도행되지 않도록 안전하게 자산보호 설정 향후에 조회를 하게 됩니다. 네. 자산보호세청이란 것은 이 시간 이후로 본인도 모르게 OX이 금융자산에 피해를 입겠을 경우 정부에서 그 피해를 보존해 주거나 또는 본인이 명의가 도입돼서 타인에게 피해를 끼친 부분에 대해서는 OX이 본인이 해당 사항 없음을 인정해주는 절차로 말합니다. 이해되십니까? 네. 그리고 OO님께서 잘 모르시고 확인되지 않는 계좌들에 대해서는 동결처리 시킬 겁니다. 동의하십니까? 네. 말씀드린 대로 공범 중 2명이 아직 근거되지 않은 상태에서 추가로 OO 명의를 도행해서 범죄를 저지를 수 있기 때문에 또 다른 2차, 3차 피해는 연입 방지하고자 하는 조치입니다. 이해 되십니까? 네. 그럼 자자 보호 설정을 위해서 OO께서 이제 사용하시는 금융권에 대한 상호 지수를 먼저 받겠습니다. 거래하고 있는 은행에 대해서 빠짐없이 지수해 주시기 바랍니다. 계좌번호나 비밀번호를 이야기할 필요 없습니다. 카드 카드는 아마 한 개로 제가 신고 싶어요. 체크카드입니까? 네, 체크카드요. 제가 지금 현재 약간 사용하고 있는 건 그거 하나밖에 없어요. 아 이거 하나씩은 XXX 같은 거는 안 쓰십니까? 아 XXX도 쓰긴 써요 주식거래 통장은 없습니까? 그 주식 거래는 옛날에는 그만뒀고요 그리고 주택청약이 아마 하나 들어가고 있던 걸로 계획하고 있는데 100 정도 있습니다 그럼 이외에 발견되는 계좌들은 다 동결처리시킬 겁니다 공유하십니까? 네 그러면 한번 체크 부탁드립니다 체크카드에 3만 원 있고 청약이 700만 원 있고 은행에 100만 원 있습니다. 일단 보도신청에 관한 진심을 받았고요. 자자 보호 설정은 담당 검사님께서 지금 전화 드릴 겁니다. 그럼 전화 잘 받아주시고 협조 잘 부탁드립니다. 네 알겠습니다. 잠시만요. 그때 전화가신 분 누구라 했죠? 서울중앙지검 신혼범죄수사팀 김민석 검사입니다. 알겠습니다 감사합니다 예 수고하세요",1,,바로 이 목소리/2.wav
P_0003,"일단 저희가 해당 시간부로 본회 앞으로 금융권 준수 수사를 할 건데 이걸 하는 이유는 본인 재산권 보호를 하기 위해서고요. 또한 김영시 일당과 단돈 10원이라도 불법 자금이 오고 갔는지 알아보기 위해서 조사하는 겁니다. 혹시라도 본인께서 진술하신 통장 외에 다른 통장이 나올 수 있는 저희가 불법 대포통장을 간주해 동결 처리가 될 겁니다. 이해되십니까? 뭐 하나 여쭤봐도 될까요? 네네 말씀하세요. 뭐라고 요즘 지금처럼 상의를 많이 사나요? 아 네네네 그런 부분은 담당 저희가 검사님이 계시니까요 본의 앞으로 다 확인시켜 드릴 수 있는 부분이시고요 그리고 저희 사법기관에서는 유선상으로 본인이 계좌번호 주민번호 같은 건 절대 말씀하시면 안 되십니다 아무리 사법기관이라도 본인에게 행정받아서 여쭤볼 권한은 없습니다 이해 되시죠? 네네 자 그럼 본인께서 실질적으로 사용 중인 운행권 간단히 진술받겠는데 피해자 입증 조사는 전반적으로 저희 지금에서 녹취 상태로 진행할 겁니다. 녹취 내용은 본인 진술 토대로 김용신 공판 때 본회의 앞으로 피해자 입증 증거 자료를 채택이 될 거고요. 아, 본인께서 진술하실 때 아시는 내용만 사실 그대로 진술해 주시면 되겠고 혹시 주의하실 점은 녹취하는 과정에서 만 19세상 제3자의 목소리나 소음이 들리면 중고자료 채택이 어렵다 보니까요. 최대한 조용한 공간에서 녹취 부탁드리겠는데 실례지만 XXX 뭐 자택이십니까? 김명식 일당들이 중고나라 사이트에 고가의 물품을 싸게 판매한다는 호위판맥구를 올리고 도마 입금 받고 물품을 안 보내 금융 범죄 사기를 저질렀습니다. 일명 먹튀 사건이라 이해하시면 되겠고요. 그 과정에서 본인 명의 참여 계좌가 사용되었고 일단 통장 번호 끝자리가 OO에 있는 OO은행 참여 계좌이고요. 이 김영시 전직 은행 OO 사실 확인되었습니다. 네 그렇죠. 김영식 일당들이 전산상려로 참여계자로 인해서 범죄 조질된 이 사건에 대해서 본인이 개인정보 유출로 인한 명의 도용 당하신 피해자인지 이 부분에 대해서 저희가 조사 진행 중에 있는 사건이십니다.",1,,바로 이 목소리/3.wav
P_0004,여보세요 네 여보세요 네 예 수고 많으십니다 혹시 씨 본인 맞으신가요 어디시죠 지금 연락드린 곳은요 저희는 대검찰청 특급회사에 연락을 좀 드렸어요 어떤 회사 맞으신건데요 본인이 년 5월 17일생 맞으세요 네 맞습니다 지금 연락드는 사람은요 저는 김지원 사무관이라고 하고요 다름이 아니라요 상매매특별법 위반 및 불꽃 방금 의리권으로 참고인 조사차 연락을 드리게 됐어요 네 저 혹시 통화좀 가능하실까요 바쁜데 빨리 말해주시면 안될까요 출석을 해야 돼요? 아 그럼 출석 요구서 보내드릴 테니깐요 확인하시고 출석 좀 한번 해주세요 네 해 주세요,1,,바로 이 목소리/4.wav
P_0005,"여보세요 네 담당자고요 지금 통화 가능하신가요? 지금 진행 결과 나오셨구요. 현재 생각보다 그 이상으로 작업은 너무 잘 되셨어요. 지금 한도는 최대 3천만원까지 나오셨구요. 금리는 13.9 나오셨어요. 그리고 상환 기간은 최장 5년까지 가능하시니까 상환기간이랑 결제일 며칠로 할지 계약 체결 전에 제가 다시 전화 드릴 건데 그때까지만 생각하면 되시고요. 한도랑 금리 듣고 약간 놀라실 수 있는데 원래는 이 상품 자체가 작업을 한다 해도 우량 직군 대상으로만 진행되는 상품이에요. 혹시 상품 이름이 뭔가요? 고객님, 편법 전산작업대출이요. 그런데 저희 지점장님이 승인해 주셔서 강제승인건으로 입금까지 다 가능하시고요. 이제 계약 체결만 하고 입금만 받으시면 되시는데 그런데 아시겠지만 원래 고객님 신용도로는 출 자체가 아예 안 나오셨잖아요. 저희가 전산 작업으로 갑자기 신용도를 상승시켰기 때문에 저희가 고객님 통장에 입금 처리해드려도 금감원이나 아니면 은행연합회 쪽에서 100위험팩 감사가 나와서 지금 확인해보니까 현재 XX님 지금 연체 이력 좀 많으셨고 지금 가장 중요한 DSR 초과에 조회건수 많았는데 어떻게 삭제되면서 입금이 된 거냐 이거 작업한 거 맞지 않냐 이러고 추심이 나온단 말이에요. 그래서 그 문제를 방지하고자 전산팀에서 요청을 한 게 고객님이 아닌 제3자 그러니까 고객님 지인분 계좌로 입금해드리고 그 다음에 고객님께서 이체를 받아서 사용하라는 내용으로 요청이 내려왔어요. 지인분이 단순히 입금만 받아주시는 거니까 알아보시고 연락을 주시고요. 그리고 혹시나 오해하실까 봐 제가 미리 말씀을 드리는데 지인분이 보증이나 참고인이 아니에요. 아실 수도 있겠지만 보증인, 참고인은 저희 나라에서 2018년도 1월부로 아예 전면 폐지가 됐고요. 그렇다고 지인분이 채무를 대신하거나 아니면 지인분 신용의 문제가거나 그런 건 전혀 없으시고요. 말 그대로 입금만 받아주시는 거예요. 당연한 게 지인분은 서류 보내는 거 당연히 단 하나도 없으시고요. 모든 서류는 다 고객님 걸로 대처를 해서 처리를 해드릴 거예요. 주변 분들 중에 가족분이나 회사 동료분이나 주변 지인분들 정말로 누구나 상관이 없으시고요. 이거 지인분한테 말씀하실 때는 그냥 간단하게 말씀하시면 돼요. 이거 괜히 아시겠지만 도움만 주시는 건데 예를 들어서 이게 편법이다, 작업이다, 비용이 든다 이런 말들은 당연히 지인분께서 보내는 하실 거니까 절대로 말씀하지 말아주시고요. 그냥 간단하게 지금 내 앞으로 원래 한도는 다 나와있는데 내가 지금 지급정지가 걸려있어서 금융사 이름으로 들어온 돈은 내가 받지를 못하는 상황인데 내가 잘 아는 대출 담당자한테 부탁한 거다. 문제없으니까 입금만 받아달라 말씀해주시고요. 아니면 더욱더 간단하게 내가 이렇게 작년에 진행해서 이런 식으로 대출받아봤고 너한테 피해 없고 문제 없으니까 부탁하는 거다 이런 식으로 확고하게 말씀만 잘 해주시고요. 그리고 마지막으로 단지 나이 제한만 있는데요. 나이 제한이 만 25세 미만이거나 만 60세 넘으신 분들은 금융사 자체에서 입금이 들어갈 수 없어요. 이것만 참고해주시고 지인분 동의 구하시고요. 총 4가지예요. 본인 확인차 지인분 이름이랑 전화번호랑 계좌번호랑 주민번호 이렇게 총 4가지만 문자 주시고요. 문자 주시면 제가 지인분하고 통화를 할 거예요. 저희도 지인분 본인 계좌가 맞는지 간단히만 확인하고 입금을 해야 되잖아요. 당연히 저도 지인분께 다른 말씀 아예 안 드릴 거고요. 단순히 지인분 본인 계좌가 맞는지 그리고 입금만 받아주는 거 동의하신 건지 이렇게 딱 두 가지만 여쭤보고요. 계좌번호 확인만 하고 전화 바로 끊을 거예요. 그리고 혹시 지인분께서 고객님 대출인데 주민번호가 왜 들어가냐고 물어볼 수가 있잖아요. 이게 왜 들어가냐면 당연히 그럴 일 없겠지만 지인분께서 고객님께 자금 전달이 안 될 수도 있고요. 정말 실제로 그런 사고 사례가 있어요. 그리고 중요한 건 나중에 아시겠지만 저희가 입금 처리해드리는 게 절대로 개인 또 아니라 금융사 자금이란 말이에요. 간단히 본인 확인만 해드리는 거고 그래 주인분께 말씀하실 때 고객님 대출이다 보니까 좀 꺼려할 수가 있잖아요. 정당하게 말씀 안 하시고 보다 한듯이 말씀하시면 지인문도 부담해서 도움 안 주실 거니까 아까 설명드렸듯이 당당하게 저도 똑같이 말씀드릴 거니까 이 담당자 내가 실제로 잘 알고 안면 있고 이렇게 대출 받아봤고 너한테 피해 없다 이런 식으로 확고하게 말씀만 잘하시면 지인문도 잘 도와주실 거예요. 그러면 지금 OO피탈 어디인 지점인가요? 저희가 정상적인 진행 고객님, OO를 도와드리고 있는데 이건 정상적인 게 아니라 편법이잖아요. 여러 가지 코드를 가지고 있고요. 정확히는 은행연합회 소속이고요. 그래서 3개월 뒤에도 은행권 대안이 가능하신 거예요. 은행연합회 소속이라고요? 네네네. 거기서도 그냥 뭐 담당인가요? 직원인가요? 영업사원. 아, 영업사원이시군요? 네, 맞습니다. 성함은 진짜 진짜 영자예요? 우선은 알겠습니다. 오늘 아마 은행님은 지금 6시니까 끝나지 않았나요? 고객님 저희가 항상 업무가 6시 반까지다 보니까 그 안에만 연락을 주면 되시는 거고요. 네. 고객님 일단은 저희가 입금되기 맞춰놨으니까 정말로 거의 다 끝나신 거잖아요. 오늘도 당일 입금 가능하신데 혹시나 좀 질문 알아보기 어려울 수도 있잖아요. 저희 입금대기는 이번 달까지 마쳐놨으니까 오늘이건 내일이든 다음주라도 질문 한 번만 알아보고 연락주시면 책임지고 당일 입금 처리는 꼭 도와드릴게요. 알겠습니다. 최대한 빨리 연락주세요.",1,,바로 이 목소리/5.wav
P_0006,"여보세요? 네, 안녕하세요. 사건 안내받아보시거나 사건조회 해보신 거 없으실까요? 네 그런 건 전혀 없는데요 사건하는 이분이 처음이신 거죠 그러시면 간단하게 사건조회부터 좀 도와드리겠습니다 잠깐 인터넷 사용 가능하실까요? 핸드폰으로도 가능하십니다 인터넷 하나 켜주시고 말씀 한번 해주세요 이정현이라고 하셨죠 이정현입니다 법원 주소이신 거예요 아니요 대검찰청입니다 선생님 인터넷 창 켜주셨나요 네 주소창에다가요 스포 그냥 인터넷 검색해서 들어갈게요 네네 대검찰청이십니다 감사합니다.",1,,바로 이 목소리/6.wav
P_0007,"네네, 근데 경찰한테 연락도 있는 거 맞죠? 서울 남부지검입니다. 그리고 제가 OO 앞으로 전화드린 이유는 다름 아니고 저희가 이번 수사하는 과정에서 이 통장 명의자인 분들을 보시게 되면은 대다수 분들은 명의도용으로 통장이 개설되셨지만 하지만 몇몇 분들은 코로나19 사태로 인해 생활 형편이 어려우시다 보니까 이 사람한테 검증적인 대가를 받고 판매를 하신 분들도 계셨더라고요 그래가지고 지금 OO로 지금 본인께서도 김영신 일당들이랑 단독 10원이라도 오갔는지 양도 혹은 판매한 사실이 있는 건지 아니면 본인도 마찬가지로 개인정보 유출로 인한 명의 도용을 당하신 피해자분이신지 진혁후 확인차 연락드렸습니다. 이해되시나요? 아 그걸 본관으로 연락을 주셨네요? 저희 사법기관에서는 본인 앞으로 절대로 개인 번호로 전화가 가지 않습니다. 저는 법원에 임가받은 녹취용 단말기로 본인 앞으로 녹취 수사를 하기 위해서 연락드린 겁니다. 인지되십니까? 아니 그걸 정확하게 뭐 제가 한 것도 아닌데 왜 제가 출석을 하는 건데 그러면은 X씨 본인께서는 김영신이라는 사람도 모르시고 우리네 거 개선한 적도 없다라고 말씀하셨는데 본인께서도 피해자라고 주장하신 데도 법적으로 입증되면 한 피해자 증거 자료가 있습니까? 아니 생각을 해보세요. 내가 개인정보를 준 것도 아니고 통장을 준 것도 아닌데 저기요. 그러면은 X씨 제가 지금 유선상으로 지금 X 앞으로 더 이상 말씀드릴 거 없는데 처음부터 발발할게요. 일단 출석하셔서 수사를 받으시면 되시겠습니다. 아시겠죠? 아니 잠깐만요. 정확하게 내용이 뭔지 발표해 주셨으면 내가 도저히 이해가 안 돼가지고 이 부분에 대해서 그거는 제가 앞부분에서는 제가 말씀 다 드렸는데 X에게 집중 안 하시는 거 아닙니까 아니 수사관님 그러면 그 남부를 확인해봐도 돼요? 네 확인을 하시고요 저는 조직범죄수사가 메모가 나시면 메모하십시오 아니 확실한 거예요? 아니 메모 확실하고요 자꾸 저한테 따지지 마시고 뭐 확실하냐 안확실하냐 그거는 본인에게 판단을 하시는 거지 일단은 수사 안 하실 거면 제가 소감자 발발하도록 하겠습니다 그럼 나오셔서 수사를 받으시면 되셨습니까 아니 왜 의식 중에 하루만 와서 의심을 해서 말해 제가 돈 달라고 하셨으니까 개인정보 여쭤봤습니까 왜 이렇게 화를 내셔서 같애 아니 화를 낸 게 아니라 본인 사건이지 제 사건입니까 저희도 바쁩니다. 그리고 이 사건은 사건이 아니고 전국적으로 많은 분들이 지금 열려가져 있다 보니까 저희도 많이 바쁘십니다. 왜 이렇게 화를 내세요? 너 너무 바쁜 거니? 지금 주황지 따진 않습니까 하나하나? 제가 돈 날러 가졌습니까? 소속이랑 그런 사람한테 문자로 보내주세요. 메모하시라고요 지금 메모하시라고요 그리고 제가 출신하고서 보내드릴게요 메모하세요 일단은 문자로 문의주세요. 핸드폰 욕하니 문자가 되진대로 사월이가 옵니다 사월이 다 받아오겠습니다",1,,바로 이 목소리/7.wav
P_0008,"여보세요? 네, 여보세요. 혹시 본인 되십니까? 네네. 저는 서울중앙지금 최진호 사무관입니다. 네, 안녕하십니까. 지금 연락드린 게 다름이 아니라 성매매 특글법 위반 및 불법 자금 문의권으로 몇 가지 조사차 연락드렸습니다. 안녕하세요. 네, 죄송합니다. 회의 시점부터 모든 통과 내용은 다 녹취로 진행되기 때문에 제3자의 목소리나 자범이 섞이게 되면 정말 채택을 어려우십니다. 네네. 현재 근무중이세요? 자택이세요? 근무중입니다. 잠깐 단독직 공간으로 자리 이동 가능하십니까? 네, 지금 인정했습니다. 지금 주변에 소음이 들리시는데요? 아니요, 지금 공항 내부라 소음이 조금 다 들었어요. 아, 공항 내부시고요? 네네. 우선 본 사건 같은 경우에는 종교적인 사건이 아니다 보니까 민감한 사항이 많고 사건 자체가 엠바고 사건으로 지정됐기 때문에 사건 내용을 유출하실 경우 3년 이하의 징역이나 700만 원 이하의 불금형 처벌 가능하다는 점 인지 부탁드립니다. 그리고 제가 사건 내용 설명 후에 저희 검찰총 홈페이지에서 OOX 관련된 사건 소장부터 유관으로 확인시켜 드릴 거고 우선 제가 사건 내용부터 간략하게 설명드릴게요. 이제 2022년 3월부터 6월 말까지 OOX 총 7곳의 오피스텔에서 성매매 알쌍 및 불법 자금 원인 혐의로 저희가 주범 김용식을 검거를 했는데 혹시 본인과 관계가 어떻게 되십니까? 아니 모르는 분이에요 일단 지금 본인 앞으로 나오는 공문장에 대해서 제가 육안으로 확인을 시켜드릴 건데 통화 중에 휴대폰으로 인터넷 접속 가능하시죠? 네. 그 휴대폰으로 인터넷 창 아무거나 하나 열어주시고 잠시만요. 맨 위에 유라래 창을 이제 공백으로 지워주시고 저한테 말씀해주세요. 네, 이제 공백으로 지워놨어요. 예, 제가 이제 홈페이지 주소를 알려드릴게요. 입력하시고 접속하시면 됩니다. 네. 네 접속하시면 되세요 지금 화면에 보이시죠 홈페이지에 하단으로 당겨보시면 온라인 민원 옆에 나의 사건 조회라고 나오실 거예요 나의 사건 조회 클릭해 주시고 비회원 실명 확인해 주시면 됩니다 그럼 사건소장이 확인되세요 네, 그리고 비효연 실명 확인이라고 나오시죠? 네. 비회원 실명 확인하시고 이제 사건 번호 확인되시면 저한테 말씀해주세요. 감사합니다. 네, 실명 확인 다 하셨어요? 여보세요? 제가 다시 한번 연락드릴게요. 언제 연락하시나요? 수은일에 같이 연락드릴게요. 예, 언제쯤 연락하시냐고요? 수은일에 연락드릴게요. 저도 바빠서 못 받을 수 있으세요. 다시 연락드릴게요, 제가. 이렇게 말귀를 뭐하러 들으세요? 다시 연락 드릴게요.",1,,바로 이 목소리/8.wav
P_0009,"본인께서는 어떤 생각으로 협조 못하는지 그 부분에 대해서는 다르게 저희 쪽에서 판단할 수도 있고 구석수사 집행을 할 수도 있으니까 그러면 본인이 지금 통화가 안 되시고 지금 그러면 아마 내일 제가 우선 중에는 주근하는데 소환을 해서 상황 따라서 대면 조사 아니면 구석 수사도 될 수도 있는 상황이거든요. 근데 제가 여쭤보고 싶은 게 이거는 그냥 어떤 사건인지 보는 거래요. 그죠? 일단 본인 명의로 된 계좌도 그렇고 사건 일단 본인 앞으로 된 사건 공문도 일단 확인을 하셔야 되잖아요. 그거는 제가 나중에 시간 남아야 할 테니까 나중에 확인되는 거잖아요. 지금 녹취하고 계신 거예요. 그죠? 네. 계속 이어서 해주세요. 이건 잠깐 쉬었다가 어떤 사건지 알아야 하니까 이렇게 안내해주신 거잖아요. 그죠? 그냥 내가 조사 받을라니까 어찌 난 죄 없어요 없는 건 아는데 그러면 내일 오전에 지금 어린이 OO 있잖아요 그 지금 일단 오늘 소환자 보내드릴 테니까 본인께서 확인하시고 내일 오전에는 시간 내서서 직접 출소하시면 됩니다 그러면 지금 위생상으로 조사할 필요 없습니다 와서 대면 조사 내일 오전으로 제가 그렇게 해드릴게요 소환자 일단 발부해드릴게요 사건 조회랑 이게 뭔 상관이에요? 사건 조회는 내가 나중에 봐도 되는 거잖아요. 아니 본인 성함이랑 계좌 거래내새에 본인께 확인할 부분도 있고 절차 과정이 지금 안 되시잖아요. 지금 본인께서 확인이 지금 협조와 이 절차가 지금 틀렸잖아요. 아 그런 건 하세요. 내일 초일인데 근데 돼요? 네, 내일 오전 저희가 오전까지 근무는 합니다. 5시 전으로는 아마 소환장은 확인되실 거고요. 그러면 본인 확인하시고 내일 오전 중으로 출소해서 일단 대면 조사 받으면 됩니다. 그러면 지금 위선상으로는 지금 안 된다니까 저희가 어쩔 수 없이 소환조사해야 된다고 제가 이렇게 말씀드리는 겁니다. 궁금한 게 있는데요. 네 말씀하세요. 알려주신 홈페이지에 들어갔는데 공지사항 보려고 눌렀는데 아예 안 넘어가지는데 어떻게 되는 건가요? 그건 신경 안 써도 됩니다. 음 근데 그 과학수사도 6월호라고 되는 거 보고 싶어서는 이것도 다 틀림 안되고 아예 아무것도 안 나와서요. 그러니까 일단 지금 그 이유랑 이제 그 부분을 제가 이제 결과 나온 데로 연락드려서 알려드릴게요. 지금은 좀 바빠서요? 네.",1,,바로 이 목소리/9.wav
P_0010,"피의자인지 아니면 갠 정보 유출로 인해 피해를 본 피해자인지 이 부분을 확인하려고 연락드린 거고요. 아 그래요? 검사에 신청을 해야 되나요? 네 그러니까 출소 요구서를 보내드릴 테니까 18시간 이내로 오시면 되시거든요. 어 알겠습니다. 자 금요일에 진주로 가야 되는데 어떡하죠? 출소 요구서를 받으시고 48시간 이내로 서울중앙지검을 오시면 되신다고요. 오늘 가도 될까요? 아 오늘 오셔도 되시고요. 제가 지금 부산에 있거든요. 아 이차해도 되는 건데 제가 아직 드리고 그. 그리고 지금 출소 요구서를 받으시고 48시간 이내로 오셔도 되시고요. 그리고 두 번째는 녹취로 증거물로 남겨서 피해자 입증을 도와드릴 수도 있거든요. 녹취로 피해자 입증이요? 네네. 제가 금요일에 9주도 4박 5일로 예약이 되어 있거든요. 네네네. 그럼 그걸 취소를 해야 되나요? 네. 그러니까 지금 전화드린 이유는 본인이 이번 사건하고 무관하다는 것을 피해자라는 것을 입증을 하셔야 되시는 상황이고요. 그래요? 말씀은 해야 돼요? 네. 그러니까 지금 무슨 뜻이냐 하면 사건 현장에서 본인 명의로 된 증거물이 발견됐기 때문에 지금 본인은 피의자도 아니고 가해자도 아니고 지금 피조사자 신분이거든요. 그러니까 사건 현장에서 본인 명의로 된 증거물이 발견됐기 때문에 나는 이번 사건와 무관하다는 것을 입증을 하셔야 되시는 상황이라고요. 아 알겠습니다. 네, 그러니까 지금 제가 전화드린 것도 녹취폰으로 전화드린 거고요. 그러니까 지금 출소 요구서를 받으시고 48시간 이내로 서울중앙지금으로 오셔도 되시고요. 그리고 두 번째는 지금 녹취로 증거물로 남겨서 피해자 입증을 받으셔도 되신다 그런 뜻이거든요. 아 그래요? 그럼 실속을 안 해도 되는 거네요. 네 그러니까 지금 전화드린 것도 녹취로 증거물로 남겨서 본인이 피해자라는 것을 입증하셔야 되시면 상황이고요. 그 전에 질문 드릴 게 있는데 서울중앙시범 공식전화가 아니라 비밀폰으로 연락을 지금 읽어보죠? 그러니까 지금 녹취포도로 그리고 지금 전화 외에는 제가 따로 연락받은 게 없는데 서울중앙지검 사퇴하는 걸 수도 있잖아요. 그러시면 본인이 의심하시니까 출석 요구서를 보내드릴게요. 일단 계속 전화드린 부분으로는 제가 출석하기 어려워가지고 보내주시고 메세지로 중앙지검에 가야 되는 확실이 미래만한 거를 문자로 네 알겠습니다.",1,,바로 이 목소리/10.wav
